incident_id,timestamp,category,locality,latitude,longitude,text,status
C00081,2026-07-01 11:13:00,Drainage,Sector 15,27.5069,77.679938,Drain is blocked,Resolved
C00113,2026-07-01 11:23:00,Drainage,Ward 9,27.48571,77.665082,Drain is blocked,Open
C00041,2026-07-01 11:27:00,Garbage / Sanitation,Sector 8,27.498674,77.669103,Waste is piling up in the street,Open
C00019,2026-07-01 11:29:00,Roads & Potholes,Sector 4,27.48634,77.679206,There is a deep pothole on the main road,Open
C00072,2026-07-01 11:29:00,Electricity,Sector 15,27.503904,77.681325,Electricity has been out since morning,Open
C00021,2026-07-01 11:44:00,Garbage / Sanitation,Sector 4,27.488542,77.683307,Waste bins are overflowing,Resolved
C00032,2026-07-01 11:47:00,Traffic,Sector 4,27.488679,77.680751,Severe congestion during peak hours,Open
C00012,2026-07-01 11:51:00,Public Safety,Sector 1,27.492328,77.674323,The area feels unsafe at night,Resolved
C00008,2026-07-01 11:51:00,Traffic,Sector 1,27.491099,77.672562,Heavy traffic at the intersection,Open
C00014,2026-07-01 11:53:00,Water Supply,Sector 4,27.488486,77.680422,Our area has had no water since early morning,Resolved
C00100,2026-07-01 11:59:00,Water Supply,Ward 9,27.482312,77.66433,Our area has had no water since early morning,Open
C00058,2026-07-01 12:01:00,Traffic,Sector 12,27.495321,77.691166,Severe congestion during peak hours,Resolved
C00125,2026-07-01 12:17:00,Street Lights,Ward 11,27.516325,77.690934,Street light is not working,Open
C00020,2026-07-01 12:22:00,Garbage / Sanitation,Sector 4,27.488542,77.680032,Waste is piling up in the street,Resolved
C00067,2026-07-01 12:27:00,Parks / Public Spaces,Sector 12,27.494841,77.689645,The park is poorly maintained,Open
C00126,2026-07-01 12:41:00,Street Lights,Ward 11,27.515399,77.689786,Street lighting has stopped working,Open
C00137,2026-07-01 12:42:00,Parks / Public Spaces,Ward 11,27.513899,77.689866,Park equipment is damaged,Resolved
C00115,2026-07-01 12:49:00,Public Safety,Ward 9,27.486801,77.667724,A damaged barrier is creating a safety issue,Open
C00092,2026-07-01 12:59:00,Drainage,Ward 7,27.512536,77.672961,Drain is blocked,Open
C00077,2026-07-01 13:00:00,Traffic,Sector 15,27.504288,77.68002,Traffic signal is causing long queues,Open
C00136,2026-07-01 13:04:00,Parks / Public Spaces,Ward 11,27.517576,77.689951,Broken benches have not been repaired,Resolved
C00024,2026-07-01 13:17:00,Electricity,Sector 4,27.489355,77.681029,There is a sudden electricity outage,Resolved
C00027,2026-07-01 13:17:00,Street Lights,Sector 4,27.488386,77.681472,Street light is not working,Open
C00033,2026-07-01 13:23:00,Drainage,Sector 4,27.487972,77.67849,Water is collecting because the drain is clogged,Open
C00075,2026-07-01 13:31:00,Traffic,Sector 15,27.505757,77.682299,Traffic signal is causing long queues,Open
C00037,2026-07-01 13:38:00,Water Supply,Sector 8,27.502714,77.670128,Pipeline is not supplying water,Resolved
C00070,2026-07-01 13:46:00,Parks / Public Spaces,Sector 12,27.497029,77.687581,Broken benches have not been repaired,Open
C00106,2026-07-01 13:53:00,Street Lights,Ward 9,27.482828,77.662889,Several street lights are off,Open
C00030,2026-07-01 14:09:00,Traffic,Sector 4,27.484017,77.681518,Vehicles are stuck near the market,Open
C00065,2026-07-01 14:15:00,Public Safety,Sector 12,27.496036,77.691308,There is a public hazard in the area,Open
C00105,2026-07-01 14:16:00,Electricity,Ward 9,27.48435,77.665306,Power outage in the locality,Open
C00083,2026-07-01 14:32:00,Roads & Potholes,Ward 7,27.509008,77.67205,Road needs urgent repair,Open
C00013,2026-07-01 14:34:00,Public Safety,Sector 1,27.490486,77.670625,The area feels unsafe at night,Open
C00097,2026-07-01 14:53:00,Parks / Public Spaces,Ward 7,27.512018,77.675396,Public space requires cleaning,Resolved
C00102,2026-07-01 15:09:00,Garbage / Sanitation,Ward 9,27.481865,77.667656,Garbage collection has been missed,Open
C00006,2026-07-01 15:12:00,Electricity,Sector 1,27.492101,77.670863,There is a sudden electricity outage,Resolved
C00094,2026-07-01 15:13:00,Public Safety,Ward 7,27.509318,77.672169,A damaged barrier is creating a safety issue,Open
C00062,2026-07-01 15:15:00,Drainage,Sector 12,27.496087,77.688286,Drainage overflow is causing problems,Resolved
C00007,2026-07-01 15:26:00,Street Lights,Sector 1,27.490274,77.673564,The road is dark because the street light failed,Open
C00071,2026-07-01 15:28:00,Garbage / Sanitation,Sector 15,27.505096,77.679383,Waste is piling up in the street,Open
C00034,2026-07-01 15:31:00,Drainage,Sector 4,27.486391,77.679511,Drain is blocked,Open
C00038,2026-07-01 15:55:00,Roads & Potholes,Sector 8,27.503108,77.671088,Large pothole near the school,Resolved
C00053,2026-07-01 15:55:00,Garbage / Sanitation,Sector 12,27.497318,77.689641,Sanitation workers have not visited,Open
C00134,2026-07-01 15:59:00,Public Safety,Ward 11,27.518329,77.689794,A damaged barrier is creating a safety issue,Resolved
C00045,2026-07-01 16:12:00,Traffic,Sector 8,27.49884,77.670786,Traffic congestion is blocking the road,Open
C00103,2026-07-01 16:13:00,Garbage / Sanitation,Ward 9,27.484536,77.666206,Waste bins are overflowing,Open
C00129,2026-07-01 16:16:00,Traffic,Ward 11,27.518769,77.690101,Heavy traffic at the intersection,Open
C00130,2026-07-01 16:27:00,Traffic,Ward 11,27.520091,77.692633,Vehicles are stuck near the market,Resolved
C00089,2026-07-01 16:33:00,Electricity,Ward 7,27.5152,77.671072,Frequent power cuts are occurring,Open
C00093,2026-07-01 16:36:00,Public Safety,Ward 7,27.512828,77.672935,The area feels unsafe at night,Open
C00087,2026-07-01 16:38:00,Electricity,Ward 7,27.51217,77.674993,Power outage in the locality,Resolved
C00098,2026-07-01 16:51:00,Water Supply,Ward 9,27.484593,77.66408,Our area has had no water since early morning,Resolved
C00056,2026-07-01 17:23:00,Street Lights,Sector 12,27.494394,77.690724,Broken street light near the intersection,Resolved
C00029,2026-07-01 17:31:00,Traffic,Sector 4,27.489911,77.680562,Traffic signal is causing long queues,Resolved
C00069,2026-07-01 17:41:00,Parks / Public Spaces,Sector 12,27.499472,77.687199,Park equipment is damaged,Open
C00090,2026-07-01 17:45:00,Street Lights,Ward 7,27.512421,77.673066,Several street lights are off,Open
C00039,2026-07-01 18:07:00,Roads & Potholes,Sector 8,27.499679,77.669115,There is a deep pothole on the main road,Resolved
C00116,2026-07-01 18:09:00,Parks / Public Spaces,Ward 9,27.484834,77.666464,The public park needs maintenance,Open
C00023,2026-07-01 18:15:00,Electricity,Sector 4,27.485872,77.682564,Electricity has been out since morning,Open
C00109,2026-07-01 18:27:00,Traffic,Ward 9,27.483976,77.664928,Severe congestion during peak hours,Open
C00009,2026-07-01 18:27:00,Traffic,Sector 1,27.491097,77.675778,Vehicles are stuck near the market,Open
C00080,2026-07-01 18:31:00,Drainage,Sector 15,27.502721,77.680274,Water is collecting because the drain is clogged,Open
C00050,2026-07-01 18:31:00,Water Supply,Sector 12,27.497738,77.688769,Water connection is not working,Open
C00079,2026-07-01 18:46:00,Drainage,Sector 15,27.508183,77.682549,Sewage water is overflowing,Resolved
C00135,2026-07-01 18:47:00,Parks / Public Spaces,Ward 11,27.514445,77.689917,The public park needs maintenance,Open
C00042,2026-07-01 18:56:00,Electricity,Sector 8,27.499621,77.671325,There is a sudden electricity outage,Open
C00046,2026-07-01 19:10:00,Traffic,Sector 8,27.502949,77.667699,Severe congestion during peak hours,Resolved
C00043,2026-07-01 19:11:00,Street Lights,Sector 8,27.500465,77.669834,Street lighting has stopped working,Open
C00131,2026-07-01 19:20:00,Traffic,Ward 11,27.516627,77.691457,Traffic signal is causing long queues,Resolved
C00051,2026-07-01 19:34:00,Water Supply,Sector 12,27.497445,77.690619,Water connection is not working,Open
C00040,2026-07-01 19:41:00,Garbage / Sanitation,Sector 8,27.501149,77.668245,Garbage collection has been missed,Open
C00036,2026-07-01 19:43:00,Public Safety,Sector 4,27.488717,77.680611,There is a public hazard in the area,Resolved
C00120,2026-07-01 19:44:00,Garbage / Sanitation,Ward 11,27.51502,77.692747,Garbage has not been collected,Open
C00035,2026-07-01 20:07:00,Drainage,Sector 4,27.488154,77.680351,Water is collecting because the drain is clogged,Resolved
C00018,2026-07-01 20:14:00,Roads & Potholes,Sector 4,27.487281,77.680722,Large pothole near the school,Open
C00076,2026-07-01 20:25:00,Traffic,Sector 15,27.5032,77.680498,Heavy traffic at the intersection,Open
C00121,2026-07-01 20:30:00,Electricity,Ward 11,27.51689,77.689577,Electricity has been out since morning,Open
C00127,2026-07-01 20:34:00,Traffic,Ward 11,27.517498,77.688877,Vehicles are stuck near the market,Open
C00044,2026-07-01 20:40:00,Street Lights,Sector 8,27.502566,77.66979,Several street lights are off,Resolved
C00068,2026-07-01 20:46:00,Parks / Public Spaces,Sector 12,27.495272,77.690123,Park equipment is damaged,Resolved
C00119,2026-07-01 20:47:00,Roads & Potholes,Ward 11,27.518426,77.689135,Road is badly damaged,Open
C00123,2026-07-01 20:50:00,Street Lights,Ward 11,27.514608,77.689101,The road is dark because the street light failed,Open
C00122,2026-07-01 20:58:00,Electricity,Ward 11,27.517443,77.688354,Our area has no electricity,Open
C00047,2026-07-01 21:00:00,Traffic,Sector 8,27.501926,77.670826,Severe congestion during peak hours,Open
C00061,2026-07-01 21:02:00,Drainage,Sector 12,27.494674,77.690231,Drainage overflow is causing problems,Open
C00096,2026-07-01 21:15:00,Public Safety,Ward 7,27.514329,77.673341,Safety issue reported near the public building,Open
C00138,2026-07-01 21:19:00,Parks / Public Spaces,Ward 11,27.515043,77.691005,Public space requires cleaning,Open
C00118,2026-07-01 21:21:00,Roads & Potholes,Ward 11,27.517513,77.692814,Street surface has broken down,Resolved
C00048,2026-07-01 21:23:00,Parks / Public Spaces,Sector 8,27.50144,77.667928,Broken benches have not been repaired,Open
C00117,2026-07-01 21:26:00,Water Supply,Ward 11,27.516763,77.687967,No water supply since morning,Open
C00054,2026-07-01 21:34:00,Electricity,Sector 12,27.495603,77.69408,There is a sudden electricity outage,Resolved
C00028,2026-07-01 21:45:00,Traffic,Sector 4,27.487615,77.680448,Vehicles are stuck near the market,Open
C00078,2026-07-01 21:50:00,Traffic,Sector 15,27.507648,77.681607,Traffic signal is causing long queues,Open
C00015,2026-07-01 21:55:00,Water Supply,Sector 4,27.486985,77.681918,There is no water in our colony,Resolved
C00064,2026-07-01 21:56:00,Public Safety,Sector 12,27.496457,77.690386,A damaged barrier is creating a safety issue,Resolved
C00151,2026-07-02 07:02:00,Drainage,Sector 1,27.49103,77.671378,Water is collecting because the drain is clogged,Open
C00171,2026-07-02 07:13:00,Roads & Potholes,Sector 8,27.50082,77.669171,Street surface has broken down,Open
C00250,2026-07-02 07:14:00,Street Lights,Ward 9,27.48607,77.665071,Several street lights are off,Resolved
C00236,2026-07-02 07:16:00,Public Safety,Ward 7,27.509663,77.673399,There is a public hazard in the area,Open
C00174,2026-07-02 07:22:00,Garbage / Sanitation,Sector 8,27.500595,77.670421,Garbage collection has been missed,Open
C00178,2026-07-02 07:24:00,Street Lights,Sector 8,27.502339,77.669143,Several street lights are off,Resolved
C00212,2026-07-02 07:31:00,Street Lights,Sector 15,27.504474,77.680656,Several street lights are off,Open
C00280,2026-07-02 07:40:00,Street Lights,Ward 11,27.517287,77.69007,Street lighting has stopped working,Open
C00265,2026-07-02 07:48:00,Parks / Public Spaces,Ward 9,27.487321,77.667694,The public park needs maintenance,Open
C00264,2026-07-02 07:48:00,Parks / Public Spaces,Ward 9,27.485304,77.662726,Broken benches have not been repaired,Resolved
C00173,2026-07-02 07:54:00,Roads & Potholes,Sector 8,27.500522,77.668521,Road needs urgent repair,Open
C00204,2026-07-02 07:54:00,Public Safety,Sector 12,27.494826,77.691011,There is a public hazard in the area,Open
C00181,2026-07-02 07:58:00,Traffic,Sector 8,27.502449,77.669123,Traffic signal is causing long queues,Resolved
C00256,2026-07-02 08:03:00,Traffic,Ward 9,27.483394,77.666024,Traffic congestion is blocking the road,Open
C00248,2026-07-02 08:10:00,Electricity,Ward 9,27.485619,77.662105,Power outage in the locality,Open
C00247,2026-07-02 08:10:00,Garbage / Sanitation,Ward 9,27.485333,77.664282,Waste is piling up in the street,Open
C00268,2026-07-02 08:30:00,Water Supply,Ward 11,27.514377,77.688114,There is no water in our colony,Open
C00254,2026-07-02 08:34:00,Traffic,Ward 9,27.483491,77.663424,Traffic congestion is blocking the road,Resolved
C00284,2026-07-02 08:41:00,Traffic,Ward 11,27.517263,77.690613,Traffic congestion is blocking the road,Open
C00166,2026-07-02 08:45:00,Drainage,Sector 4,27.487901,77.679183,Drainage overflow is causing problems,Open
C00225,2026-07-02 08:46:00,Water Supply,Ward 7,27.515008,77.675076,Water supply has stopped,Open
C00149,2026-07-02 08:52:00,Traffic,Sector 1,27.490542,77.673119,Traffic congestion is blocking the road,Resolved
C00231,2026-07-02 09:17:00,Drainage,Ward 7,27.512911,77.671721,Drain is blocked,Open
C00230,2026-07-02 09:19:00,Traffic,Ward 7,27.514012,77.672674,Heavy traffic at the intersection,Resolved
C00281,2026-07-02 09:19:00,Traffic,Ward 11,27.5174,77.689398,Severe congestion during peak hours,Open
C00287,2026-07-02 09:24:00,Public Safety,Ward 11,27.519348,77.689901,A dangerous obstruction is present,Resolved
C00267,2026-07-02 09:37:00,Parks / Public Spaces,Ward 9,27.485429,77.665502,The park is poorly maintained,Resolved
C00194,2026-07-02 09:38:00,Electricity,Sector 12,27.493461,77.692294,Power supply is unstable,Resolved
C00147,2026-07-02 09:42:00,Traffic,Sector 1,27.493277,77.671518,Heavy traffic at the intersection,Open
C00206,2026-07-02 09:46:00,Roads & Potholes,Sector 15,27.506869,77.67789,Road needs urgent repair,Resolved
C00239,2026-07-02 09:51:00,Parks / Public Spaces,Ward 7,27.513597,77.674179,Public space requires cleaning,Open
C00255,2026-07-02 09:58:00,Traffic,Ward 9,27.482099,77.663189,Vehicles are stuck near the market,Open
C00198,2026-07-02 10:04:00,Traffic,Sector 12,27.494312,77.689776,Severe congestion during peak hours,Resolved
C00169,2026-07-02 10:04:00,Roads & Potholes,Sector 8,27.501255,77.669134,Street surface has broken down,Open
C00216,2026-07-02 10:05:00,Drainage,Sector 15,27.502665,77.681909,Water is collecting because the drain is clogged,Resolved
C00240,2026-07-02 10:07:00,Water Supply,Ward 9,27.484319,77.665949,Water pressure is extremely low,Open
C00155,2026-07-02 10:09:00,Parks / Public Spaces,Sector 1,27.490687,77.670926,Park equipment is damaged,Open
C00156,2026-07-02 10:11:00,Water Supply,Sector 4,27.488042,77.681191,Water connection is not working,Resolved
C00177,2026-07-02 10:17:00,Street Lights,Sector 8,27.500641,77.670235,Broken street light near the intersection,Open
C00213,2026-07-02 10:22:00,Traffic,Sector 15,27.50747,77.679489,Vehicles are stuck near the market,Open
C00168,2026-07-02 10:24:00,Water Supply,Sector 8,27.500097,77.67014,Our area has had no water since early morning,Open
C00144,2026-07-02 10:27:00,Electricity,Sector 1,27.493277,77.672069,Power supply is unstable,Resolved
C00189,2026-07-02 10:41:00,Parks / Public Spaces,Sector 8,27.50142,77.667312,Park equipment is damaged,Resolved
C00227,2026-07-02 10:47:00,Garbage / Sanitation,Ward 7,27.511763,77.67521,There is a large pile of garbage,Open
C00242,2026-07-02 10:49:00,Water Supply,Ward 9,27.486228,77.665201,Water pressure is extremely low,Open
C00150,2026-07-02 10:51:00,Drainage,Sector 1,27.490865,77.670867,Water is collecting because the drain is clogged,Open
C00262,2026-07-02 11:01:00,Parks / Public Spaces,Ward 9,27.483751,77.665707,Park equipment is damaged,Open
C00229,2026-07-02 11:06:00,Electricity,Ward 7,27.51228,77.672867,Electricity has been out since morning,Open
C00224,2026-07-02 11:19:00,Water Supply,Ward 7,27.509556,77.674828,There is no water in our colony,Open
C00184,2026-07-02 11:24:00,Public Safety,Sector 8,27.50293,77.668333,Safety issue reported near the public building,Open
C00285,2026-07-02 11:32:00,Drainage,Ward 11,27.516456,77.690262,Drainage overflow is causing problems,Open
C00278,2026-07-02 11:35:00,Street Lights,Ward 11,27.517553,77.68941,The road is dark because the street light failed,Open
C00244,2026-07-02 11:36:00,Garbage / Sanitation,Ward 9,27.486407,77.664226,Sanitation workers have not visited,Open
C00207,2026-07-02 11:39:00,Roads & Potholes,Sector 15,27.504486,77.680443,Road needs urgent repair,Open
C00251,2026-07-02 11:44:00,Street Lights,Ward 9,27.486835,77.663975,Broken street light near the intersection,Open
C00259,2026-07-02 11:44:00,Traffic,Ward 9,27.486751,77.667432,Traffic signal is causing long queues,Open
C00289,2026-07-02 11:49:00,Parks / Public Spaces,Ward 11,27.517973,77.691481,The park is poorly maintained,Open
C00164,2026-07-02 11:49:00,Drainage,Sector 4,27.48839,77.679644,Sewage water is overflowing,Open
C00243,2026-07-02 11:55:00,Garbage / Sanitation,Ward 9,27.485042,77.665045,Sanitation workers have not visited,Open
C00210,2026-07-02 11:56:00,Garbage / Sanitation,Sector 15,27.504866,77.681045,There is a large pile of garbage,Open
C00214,2026-07-02 11:56:00,Traffic,Sector 15,27.504014,77.679594,Severe congestion during peak hours,Resolved
C00203,2026-07-02 12:04:00,Drainage,Sector 12,27.496001,77.690237,Sewage water is overflowing,Resolved
C00273,2026-07-02 12:07:00,Electricity,Ward 11,27.517886,77.691663,Our area has no electricity,Resolved
C00269,2026-07-02 12:20:00,Water Supply,Ward 11,27.518326,77.688574,Our area has had no water since early morning,Open
C00167,2026-07-02 12:20:00,Public Safety,Sector 4,27.486709,77.680423,A damaged barrier is creating a safety issue,Open
C00270,2026-07-02 12:26:00,Roads & Potholes,Ward 11,27.518042,77.688409,There is a deep pothole on the main road,Open
C00170,2026-07-02 12:34:00,Roads & Potholes,Sector 8,27.501732,77.67137,Street surface has broken down,Open
C00202,2026-07-02 12:34:00,Drainage,Sector 12,27.494801,77.689753,Blocked drain near the houses,Resolved
C00276,2026-07-02 12:39:00,Street Lights,Ward 11,27.516749,77.69022,Broken street light near the intersection,Resolved
C00160,2026-07-02 12:48:00,Electricity,Sector 4,27.488585,77.680873,Our area has no electricity,Resolved
C00209,2026-07-02 12:54:00,Garbage / Sanitation,Sector 15,27.505728,77.679841,Waste is piling up in the street,Open
C00183,2026-07-02 13:08:00,Drainage,Sector 8,27.501107,77.668284,Blocked drain near the houses,Open
C00139,2026-07-02 13:20:00,Water Supply,Sector 1,27.49255,77.67159,Pipeline is not supplying water,Resolved
C00205,2026-07-02 13:23:00,Parks / Public Spaces,Sector 12,27.499855,77.688339,The park is poorly maintained,Resolved
C00237,2026-07-02 13:31:00,Parks / Public Spaces,Ward 7,27.509356,77.675716,Park equipment is damaged,Resolved
C00217,2026-07-02 13:31:00,Drainage,Sector 15,27.503079,77.683632,Sewage water is overflowing,Open
C00141,2026-07-02 13:43:00,Garbage / Sanitation,Sector 1,27.490777,77.672161,Waste bins are overflowing,Open
C00220,2026-07-02 13:44:00,Public Safety,Sector 15,27.504944,77.682655,A dangerous obstruction is present,Open
C00271,2026-07-02 13:52:00,Electricity,Ward 11,27.518023,77.69277,Power supply is unstable,Open
C00153,2026-07-02 13:56:00,Public Safety,Sector 1,27.492116,77.671708,A damaged barrier is creating a safety issue,Open
C00272,2026-07-02 14:05:00,Electricity,Ward 11,27.517876,77.689461,Frequent power cuts are occurring,Open
C00258,2026-07-02 14:07:00,Traffic,Ward 9,27.488465,77.664004,Traffic signal is causing long queues,Resolved
C00286,2026-07-02 14:15:00,Public Safety,Ward 11,27.516162,77.690566,There is a public hazard in the area,Resolved
C00185,2026-07-02 14:20:00,Public Safety,Sector 8,27.500359,77.668171,Safety issue reported near the public building,Open
C00275,2026-07-02 14:26:00,Electricity,Ward 11,27.5186,77.691754,Power outage in the locality,Open
C00208,2026-07-02 14:27:00,Roads & Potholes,Sector 15,27.502889,77.679833,There is a deep pothole on the main road,Resolved
C00235,2026-07-02 14:30:00,Drainage,Ward 7,27.51227,77.673498,Blocked drain near the houses,Open
C00192,2026-07-02 14:42:00,Garbage / Sanitation,Sector 12,27.49839,77.689233,Garbage has not been collected,Resolved
C00193,2026-07-02 14:44:00,Electricity,Sector 12,27.496084,77.691641,Frequent power cuts are occurring,Open
C00249,2026-07-02 14:44:00,Electricity,Ward 9,27.484024,77.666565,Power supply is unstable,Open
C00277,2026-07-02 14:48:00,Street Lights,Ward 11,27.51881,77.688775,Street light is not working,Open
C00279,2026-07-02 14:56:00,Street Lights,Ward 11,27.517043,77.691918,Broken street light near the intersection,Open
C00162,2026-07-02 14:57:00,Street Lights,Sector 4,27.491065,77.683429,The road is dark because the street light failed,Resolved
C00140,2026-07-02 15:08:00,Roads & Potholes,Sector 1,27.491906,77.674433,Road is badly damaged,Open
C00232,2026-07-02 15:18:00,Drainage,Ward 7,27.511992,77.673012,Water is collecting because the drain is clogged,Resolved
C00223,2026-07-02 15:21:00,Parks / Public Spaces,Sector 15,27.505256,77.680724,Broken benches have not been repaired,Resolved
C00222,2026-07-02 15:22:00,Parks / Public Spaces,Sector 15,27.502978,77.682115,The park is poorly maintained,Resolved
C00282,2026-07-02 15:26:00,Traffic,Ward 11,27.517807,77.690072,Heavy traffic at the intersection,Open
C00157,2026-07-02 15:29:00,Water Supply,Sector 4,27.487458,77.680642,No water supply since morning,Resolved
C00260,2026-07-02 15:31:00,Drainage,Ward 9,27.484065,77.664167,Blocked drain near the houses,Open
C00266,2026-07-02 15:41:00,Parks / Public Spaces,Ward 9,27.484081,77.664418,The park is poorly maintained,Open
C00148,2026-07-02 15:42:00,Traffic,Sector 1,27.492043,77.674453,Severe congestion during peak hours,Open
C00196,2026-07-02 16:01:00,Street Lights,Sector 12,27.494482,77.687518,Several street lights are off,Resolved
C00261,2026-07-02 16:02:00,Drainage,Ward 9,27.484044,77.666784,Blocked drain near the houses,Resolved
C00221,2026-07-02 16:23:00,Parks / Public Spaces,Sector 15,27.505462,77.678435,The park is poorly maintained,Resolved
C00142,2026-07-02 16:36:00,Garbage / Sanitation,Sector 1,27.489849,77.672713,Garbage collection has been missed,Open
C00241,2026-07-02 16:38:00,Water Supply,Ward 9,27.48271,77.664913,Water connection is not working,Resolved
C00211,2026-07-02 16:39:00,Electricity,Sector 15,27.505148,77.680804,There is a sudden electricity outage,Open
C00245,2026-07-02 16:47:00,Garbage / Sanitation,Ward 9,27.485144,77.664307,Garbage has not been collected,Open
C00257,2026-07-02 16:47:00,Traffic,Ward 9,27.484751,77.663762,Severe congestion during peak hours,Open
C00228,2026-07-02 16:48:00,Electricity,Ward 7,27.512776,77.672911,Power supply is unstable,Resolved
C00182,2026-07-02 17:01:00,Drainage,Sector 8,27.502246,77.667716,Drain is blocked,Resolved
C00146,2026-07-02 17:13:00,Street Lights,Sector 1,27.495561,77.672534,Street lighting has stopped working,Open
C00246,2026-07-02 17:13:00,Garbage / Sanitation,Ward 9,27.484348,77.664536,Garbage collection has been missed,Resolved
C00252,2026-07-02 17:14:00,Street Lights,Ward 9,27.484235,77.661273,Several street lights are off,Resolved
C00165,2026-07-02 17:15:00,Drainage,Sector 4,27.488958,77.678508,Drainage overflow is causing problems,Open
